concept_id,concepticon_id,label,pos,semantic_field,definition,status,replacement_id,notes
act-a-little,2924,a little,x,Basic actions and technology,"More than one, but not as much as usual or as expected. (for mass nouns)",active,,
act-accept,3898,accept,v,Basic actions and technology,To take or get something that was offered by someone.,active,,
act-accident,4058,accident,n,Basic actions and technology,"An unforeseen event, typically harmful or damaging, that occurs without deliberate intent.",active,,
act-accustom,1118,accustom,v,Basic actions and technology,Get used to something.,active,,
act-add,2882,add,v,Basic actions and technology,Join or unite so as to bring about an increase.,active,,
act-adze,290,adze,n,Basic actions and technology,"A sharp tool with the blade at a right angle to the handle, used to shape pieces of wood.",active,,
act-against,2469,against,adj,Basic actions and technology,In opposite direction to.,active,,
act-amuse-oneself,3239,amuse oneself,v,Basic actions and technology,To do something joyful.,active,,
act-anvil,1648,anvil,n,Basic actions and technology,A heavy iron block used by a blacksmith as a surface upon which metal can be struck and shaped.,active,,
act-arrange,1568,arrange,v,Basic actions and technology,To give structure to.,active,,
act-art,4094,art,n,Basic actions and technology,"The creation or expression of visual, auditory, or performative works intended to convey beauty, meaning, or emotion.",active,,
act-attach,3894,attach,v,Basic actions and technology,To fasten one thing to another.,active,,
act-axe,677,axe,n,Basic actions and technology,"A tool for felling trees or chopping wood consisting of a heavy metallic or stone head flattened to a blade on one side, and which is attached to a usually wooden handle.",active,,
act-bag,2468,bag,n,Basic actions and technology,A container that stores things and is small enough so that one can wear it.,active,,
act-bamboo-basket,3360,bamboo basket,n,Basic actions and technology,A basket from bamboo that is carried on the back.,active,,
act-basket,1539,basket,n,Basic actions and technology,"A lightweight container, generally round, open at the top, and tapering toward the bottom.",active,,
act-be-able,972,be able,v,Basic actions and technology,To have the ability to do something.,active,,
act-beat,1665,beat,v,Basic actions and technology,"To strike or pound repeatedly, usually in some sort of rhythm.",active,,
act-because-of,2918,because of,x,Basic actions and technology,Undergo decomposition.,active,,
act-become-extinguished,2209,become extinguished,v,Basic actions and technology,Being stopped from burning or emitting light.,active,,
act-become-sick,2327,become sick,v,Basic actions and technology,To catch a disease.,active,,
act-belch,2245,belch,v,Basic actions and technology,To release gas from the digestive tract through the mouth.,active,,
act-bell,2246,bell,n,Basic actions and technology,A simple sound-making device.,active,,
act-bellows,3658,bellows,n,Basic actions and technology,"A device that consists of a flexible leather air valve which can be expanded or contracted by operating the two handles, located on the opposite sides. It has many applications, especially blowing on a fire to supply it with air.",active,,
act-bend,2004,bend,v,Basic actions and technology,Movement that causes the formation of a curve.,active,,
act-bend-oneself,2761,bend,v,Basic actions and technology,To turn oneself over.,active,,
act-bend-something,2224,bend,v,Basic actions and technology,To carry out a movement to turn something into a curved shape.,active,,
act-birth,2805,birth,n,Basic actions and technology,The process of giving birth to a child.,active,,
act-blacken,2808,blacken,v,Basic actions and technology,To change the color of something into black.,active,,
act-blacksmith,1001,blacksmith,n,Basic actions and technology,A craftsman expert in iron and other metals work.,active,,
act-block,2762,block,v,Basic actions and technology,To prevent somebody or something from passing.,active,,
act-blow-with-mouth,176,blow,v,Basic actions and technology,To expel air through persed lips.,active,,
act-blow-with-nose,2679,blow,v,Basic actions and technology,To clean one's nose by exhaling through it.,active,,
act-boomerang,135,boomerang,n,Basic actions and technology,A tool with a curved shape used as a weapon or for sport which returns when thrown into the air.,active,,
